stopword
474,구획
475,깎은
476,자른자
477,넣었어요
478,서브
479,큐
480,용
481,프리미엄
482,중
483,화생
484,채용
485,오
486,청
487,홍
488,좋습니다
489,길이
490,무관
491,별로
492,인치
493,색깔
494,찻숟가락
495,좋아요
496,숟가락
497,움큼
498,동전
499,짜리
500,부산
501,큰것
502,이태리
503,쫑쫑썬
504,홍익인간
505,편의점
506,않습니다
507,하지
508,삼각형
509,메시
510,재수
511,먹을만큼
512,씩
513,됩니다
514,조선






